game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
106,2013,6,CN,95,NN,117,Regular Season,Regular Season
107,2013,6,RW,85,LB,98,Regular Season,Regular Season
108,2013,6,DK,84,OB,68,Regular Season,Regular Season
109,2013,6,CD,121,DG,85,Regular Season,Regular Season
110,2013,7,OB,84,DG,113,Regular Season,Regular Season
111,2013,7,DK,98,WF,53,Regular Season,Regular Season
112,2013,7,CN,102,ML,97,Regular Season,Regular Season
113,2013,7,CD,77,RW,91,Regular Season,Regular Season
114,2013,7,NN,65,LB,108,Regular Season,Regular Season
115,2013,8,NN,113,ML,143,Regular Season,Regular Season
116,2013,8,LB,71,WF,98,Regular Season,Regular Season
117,2013,8,CD,94,DK,89,Regular Season,Regular Season
118,2013,8,OB,55,CN,112,Regular Season,Regular Season
119,2013,8,RW,70,DG,111,Regular Season,Regular Season
120,2013,9,DG,157,CN,69,Regular Season,Regular Season
121,2013,9,WF,125,OB,115,Regular Season,Regular Season
122,2013,9,DK,120,LB,87,Regular Season,Regular Season
123,2013,9,ML,77,CD,116,Regular Season,Regular Season
124,2013,9,RW,117,NN,110,Regular Season,Regular Season
125,2013,10,WF,62,CD,120,Regular Season,Regular Season
126,2013,10,CN,93,RW,114,Regular Season,Regular Season
127,2013,10,LB,68,ML,98,Regular Season,Regular Season
128,2013,10,OB,53,DK,96,Regular Season,Regular Season
129,2013,10,NN,44,DG,113,Regular Season,Regular Season
130,2013,11,DK,96,DG,130,Regular Season,Regular Season
131,2013,11,LB,92,CN,100,Regular Season,Regular Season
132,2013,11,RW,81,WF,68,Regular Season,Regular Season
133,2013,11,CD,91,NN,95,Regular Season,Regular Season
134,2013,11,ML,70,OB,134,Regular Season,Regular Season
135,2013,12,ML,137,RW,128,Regular Season,Regular Season
136,2013,12,WF,76,OB,80,Regular Season,Regular Season
137,2013,12,NN,63,CN,73,Regular Season,Regular Season
138,2013,12,LB,67,DK,96,Regular Season,Regular Season
139,2013,12,DG,83,CD,90,Regular Season,Regular Season
140,2013,13,LB,83,DG,106,Regular Season,Regular Season
141,2013,13,NN,114,RW,93,Regular Season,Regular Season
142,2013,13,WF,141,CN,125,Regular Season,Regular Season
143,2013,13,OB,83,CD,92,Regular Season,Regular Season
144,2013,13,ML,113,DK,95,Regular Season,Regular Season
145,2013,14,WF,115,CD,138,Post Season,Wildcard
146,2013,14,DG,104,DK,128,Post Season,Wildcard
147,2013,14,OB,94,LB,63,Post Season,B4 Playoffs
148,2013,14,CN,96,NN,79,Post Season,B4 Playoffs
149,2013,15,CD,134,RW,80,Post Season,Semifinal
150,2013,15,DK,162,ML,79,Post Season,Semifinal
151,2013,15,DG,95,WF,105,Post Season,Consolation
152,2013,15,OB,73,CN,138,Post Season,B4 Playoffs
153,2013,15,NN,108,LB,72,Post Season,B4 Playoffs
154,2013,16,CD,132,DK,66,Post Season,Championship
155,2013,16,ML,105,RW,58,Post Season,3rd Place
156,2013,16,DG,110,WF,80,Post Season,Consolation
157,2013,16,NN,68,CN,75,Post Season,B4 Playoffs
158,2013,16,OB,100,LB,96,Post Season,B4 Playoffs
159,2014,1,NN,104,LB,81,Regular Season,Regular Season
160,2014,1,DG,95,OB,47,Regular Season,Regular Season
